OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5662	piou₃₅	p i o u ₃₅	1140	Wang2006a, 586	stick	piou35	p i o u ₃₅
5466	t͡ʂo₂₁	t͡ʂ o ₂₁	221	Wang2006a, 353	worm	tʂo21	t͡ʂ o ₂₁
5980	ɕi₃₃	ɕ i ₃₃	645	Wang2006a, 356	louse	ɕi33	ɕ i ₃₃
5599	piẽ₃₅	p i ẽ ₃₅	969	Wang2006a, 61	salt	piẽ35	p i ẽ - ₃₅
5482	ku₃₃	k u ₃₃	798	Wang2006a, 1493	old	ku33	k u ₃₃
3269	te₄₄	t e ₄₄	945	Wang2006a, 375	root	te44	t e ₄₄
5485	uen₃₅	u e n ₃₅	1354	Wang2006a, 1064	lukewarm	uen35	- u e n ₃₅
5463	mouu₃₃	m o uu ₃₃	716	Wang2006a, 219	mother	mouu33	m o uu ₃₃
7039	xen₅₅	x e n ₅₅	1037	Wang2006a, 1	sky	xen55	x e n ₅₅
2421	ʂo₄₂	ʂ o ₄₂	728	Wang2006a, 23	mountain	ʂo42	ʂ o ₄₂
961244	kɯ₂₁	k ɯ ₂₁	1	Wang2006a, 1502	(water flow)	kɯ21	k ɯ ₂₁
400	t͡sou₃₃	t͡s o u ₃₃	53	Wang2006a, 326	bird	tsou33	t͡s o u ₃₃
966	kʰuaŋ₃₃	kʰ u a ŋ ₃₃	163	Wang2006a, 289	dog	kʰuaŋ33	kʰ u a ŋ ₃₃
6055	t͡ʂuen₄₂	t͡ʂ u e n ₄₂	1321	Wang2006a, 1806	turn around	tʂuen42	t͡ʂ u e n ₄₂
3388	kʰo₃₃	kʰ o ₃₃	1065	Wang2006a, 347	snake	kʰo33	kʰ o ₃₃
4160	piɛ̃₃₅	p i ɛ̃ ₃₅	1424	Wang2006a, 9	wind	piɛ̃35	p i ɛ̃ - ₃₅
7709	mɚ₃₁	m ɚ ₃₁	147	Wang2006a, 1485	cry (verb or noun?, should be made clear later on)	mɚ31	m ɚ ₃₁
3451	xui₃₃ɕien₃₅	x u i ₃₃ ɕ i e n ₃₅	1056	Wang2006a, 19	smoke	xui33ɕien35	x u i ₃₃ ɕ i e n ₃₅
6017	t͡ɕi₄₄	t͡ɕ i ₄₄	1119	Wang2006a, 1405	squeeze (for milk)	[tɕi44]	t͡ɕ i ₄₄
3455	sʰue₄₄	sʰ u e ₄₄	1077	Wang2006a, 12	snow	sʰue44	sʰ u e ₄₄
443659	xu₃₃	x u ₃₃	382	Wang2006a, 1052	good	xu33	x u ₃₃
5650	kue₄₂	k u e ₄₂	17	Wang2006a, 1053	bad (things)	kue42	k u e ₄₂
446278	ɕa₄₄	ɕ a ₄₄	411	Wang2006a, 75	hair	ɕa44	ɕ a ₄₄
5439	pia₄₂	p i a ₄₂	28	Wang2006a, 1438	to bark	pia42	p i a ₄₂
3361	t͡ʂoŋ₃₃	t͡ʂ o ŋ ₃₃	984	Wang2006a, 405	seed	tʂoŋ33	t͡ʂ o ŋ ₃₃
7800	pɚ̃₃₁	p ɚ̃ ₃₁	533	Wang2006a, 1160	to be ill	pɚ̃31	p ɚ̃ ₃₁
6457	pu₂₁	p u ₂₁	330	Wang2006a, 1553	float	pu21	p u ₂₁
509787	xen₅₅mɚ₂₁	x e n ₅₅ m ɚ ₂₁	1277	Wang2006a, 8	thunder	xen55mɚ21	x e n ₅₅ m ɚ - ₂₁
1446	xui₃₃	x u i ₃₃	316	Wang2006a, 18	fire	xui33	x u i ₃₃
5995	miɚ₃₅	m i ɚ ₃₅	746	Wang2006a, 687	name	miɚ35	m i ɚ ₃₅
6312	t͡ʂi₄₂	t͡ʂ i ₄₂	1199	Wang2006a, 806	ten	tʂi42	t͡ʂ i ₄₂
6059	zi₂₁	z i ₂₁	375	Wang2006a, 1345	give	zi21	z i ₂₁
6041	ɕiɚ̃₅₅	ɕ i ɚ̃ ₅₅	1124	Wang2006a, 5	star	ɕiɚ̃55	ɕ i ɚ̃ ₅₅ - - -
156096	sʰã₅₅	sʰ ã ₅₅	1272	Wang2006a, 799	three	sʰã55	sʰ ã ₅₅
5951	t|srmɚ̃₃₅	t| s r m ɚ̃ ₃₅	779	Wang2006a, 578	needle	t|srmɚ̃35	t| s r m ɚ̃ ₃₅
950344	t͡ʂoŋ₂₁	t͡ʂ o ŋ ₂₁	538	Wang2006a, 149	intestine; guts	tʂoŋ21	t͡ʂ o ŋ ₂₁
